age,income,assets,credit_score,debt_to_income_ratio,existing_loan,criminal_record,credit_tier,high_debt,asset_income_ratio,age_group,income_per_age,payment_capacity,credit_utilization_proxy
53.0,56450.0,838996.0,716.0,0.44,1,0,2,1,14.862376220084675,2,1045.3703703703704,2634.3333333333335,3.5428328491461775e-05
65.0,139785.0,583848.0,850.0,0.36,1,1,4,0,4.176727283132789,3,2117.9545454545455,7455.200000000001,1.4307482097763025e-05
59.0,39758.0,505584.0,765.0,0.2095543276952817,0,1,3,0,12.71621519655927,2,662.6333333333333,2618.878253290916,0.0
65.0,116830.0,175536.0,834.0,0.37,1,1,4,0,1.5024779382184523,3,1770.1515151515152,6133.575,1.7118597644480963e-05
26.0,81319.0,182040.0,691.4661182688002,0.18,0,0,2,0,2.238563698967044,0,3011.814814814815,5556.798333333333,0.0
56.0,113484.0,224816.0,818.0,0.1108093052384294,0,0,4,0,1.9810195179979733,2,1990.9473684210527,8409.076400360174,0.0
23.0,169376.0,187211.0,735.8481431031993,0.38,0,0,2,0,1.105291745632524,0,7057.333333333333,8751.093333333332,0.0
21.0,73114.0,808413.0,738.0,0.26,0,0,2,0,11.056732544621486,0,3323.3636363636365,4508.696666666667,0.0
65.0,54743.0,464865.0,543.0,0.2259411466607639,0,0,0,0,8.491615519508986,3,829.439393939394,3531.1919840291503,0.0
22.0,98988.0,773286.0,720.4913017075513,0.07,0,0,2,0,7.811837678934023,0,4303.826086956522,7671.57,0.0
36.0,133939.0,449342.0,704.0,0.22,0,0,2,0,3.354800657010602,1,3619.972972972973,8706.035,0.0
54.0,40655.0,764881.0,667.7928059689449,0.38,0,1,1,0,18.813483864620228,2,739.1818181818181,2100.508333333333,0.0
30.0,100175.0,172123.0,500.0,0.43,1,1,0,1,1.718205957514774,0,3231.451612903226,4758.312500000001,1.9964662547291296e-05
31.0,119045.0,609550.0,680.1583842466911,0.02,0,0,2,0,5.120289635939049,1,3720.15625,9722.008333333333,0.0
64.0,99495.0,1206896.0,748.0,0.1712302230933028,1,0,3,0,12.130095682238482,3,1530.6923076923076,6871.537412777653,2.0101108576137975e-05
55.0,108492.0,824861.0,828.0,0.32,0,1,4,0,7.602896039375812,2,1937.357142857143,6147.88,0.0
23.0,88492.0,601429.0,801.451636265597,0.29,0,1,4,0,6.796345473653283,0,3687.1666666666665,5235.776666666667,0.0
51.0,63412.0,939566.0,567.0,0.45,1,1,0,1,14.816614889691389,2,1219.4615384615386,2906.3833333333337,3.1538776926230804e-05
59.0,77214.0,273494.0,769.0,0.42,0,1,3,1,3.541980185197177,2,1286.9,3732.01,0.0
53.0,109474.0,452264.0,626.6360988942214,0.1771916596453751,1,1,1,0,4.131208038364924,2,2027.2962962962963,7506.343354331851,1.8268844312908764e-05
64.0,56502.0,406072.0,850.0,0.29,1,0,4,0,7.186733447781534,3,869.2615384615384,3343.035,3.539572419651706e-05
52.0,67013.0,762434.0,798.0,0.1882898376456557,1,1,3,0,11.377234607693914,2,1264.3962264150944,4532.927759154306,2.9844064761620533e-05
54.0,71703.0,762130.0,748.0,0.27,0,1,3,0,10.628835211424747,2,1303.6909090909091,4361.9325,0.0
41.0,59845.0,751012.0,738.0,0.49,1,0,2,1,12.549075961634863,1,1424.8809523809523,2543.4125,3.341855063745885e-05
36.0,107491.0,613410.0,776.0,0.38,1,0,3,0,5.706564209429539,1,2905.162162162162,5553.701666666667,1.860586270733908e-05
24.0,104813.0,478025.0,850.0,0.19,0,1,4,0,4.5606979983589975,0,4192.52,7074.8775,0.0
22.0,91997.0,566821.0,823.7436792666616,0.39,0,1,4,0,6.161231765907955,0,3999.8695652173915,4676.514166666667,0.0
37.0,81819.0,865843.0,782.0,0.39,0,1,3,0,10.58229039354681,1,2153.1315789473683,4159.1325,0.0
48.0,90462.0,442963.0,535.0,0.2,0,1,0,0,4.896620717862551,2,1846.1632653061224,6030.8,0.0
54.0,39409.0,1010269.0,850.0,0.54,1,1,4,1,25.63483887338239,2,716.5272727272727,1510.6783333333333,5.074725330491487e-05
60.0,127827.0,837681.0,812.0,0.31,1,0,4,0,6.553188659761554,2,2095.5245901639346,7350.052499999999,1.5645901947132497e-05
36.0,168384.0,191567.0,575.0,0.06,1,0,0,0,1.1376725955399827,1,4550.918918918919,13190.08,1.1877471998859763e-05
37.0,119694.0,88898.0,567.0,0.3,0,0,0,0,0.7427043736162747,1,3149.842105263158,6982.149999999999,0.0
25.0,53508.0,689677.0,689.0,0.3,1,0,2,0,12.888990637089087,0,2058.0,3121.2999999999997,3.7376191366099795e-05
55.0,125037.0,631390.0,515.0,0.39,0,1,0,0,5.04958492618244,2,2232.8035714285716,6356.0475,0.0
46.0,106373.0,772412.0,850.0,0.39,0,0,4,0,7.261285652509072,2,2263.255319148936,5407.294166666667,0.0
50.0,40265.0,407927.0,643.3408070472808,0.23,1,0,1,0,10.13080514578056,2,789.5098039215686,2583.670833333333,4.9668463009412175e-05
32.0,26153.0,319852.0,653.0805213240928,0.36,0,1,1,0,12.229563355509674,1,792.5151515151515,1394.8266666666668,0.0
27.0,111259.0,826074.0,850.0,0.32,1,1,4,0,7.424716879381629,0,3973.535714285714,6304.676666666666,1.7975750712289123e-05
28.0,95207.0,798401.0,688.5277657079455,0.54,0,0,2,1,8.385860431896479,0,3283.0,3649.601666666666,0.0
40.0,53630.0,729413.0,771.0,0.11,1,0,3,0,13.600585482277042,1,1308.0487804878048,3977.558333333333,3.729116945107399e-05
40.0,120983.0,465613.0,592.0,0.26,0,0,1,0,3.848550221516895,1,2950.8048780487807,7460.618333333333,0.0
43.0,134378.0,378367.0,736.0,0.41,0,1,2,1,2.8156706032936696,1,3054.0454545454545,6606.918333333334,0.0
35.0,126556.0,288956.0,850.0,0.44,1,1,4,1,2.2832083567088346,1,3515.4444444444443,5905.946666666667,1.5803031021349895e-05
62.0,52411.0,771136.0,751.0,0.031868962952768,1,0,3,0,14.71296649622224,3,831.9206349206349,4228.392981890206,3.815847213477572e-05
47.0,134993.0,70714.0,518.0,0.35,1,0,0,0,0.5238306887713527,2,2812.3541666666665,7312.120833333333,1.4815363531982665e-05
